はこ 箱 箱子；盒子；容器等
いいあう 言い合う 互相说；相互交谈；争论；各执一词
いいはる 言い張る 固执地主张；硬说；坚持（某种说法、观点等）
いいかえる 言い換える 换句话说，换一种说法表达；改说，重说
いいはなつ 言い放つ 断言；毅然说出；信口开河，乱说
いいのこす 言い残す 1. 没说完，没讲完；2. 留下话，留言；3. 遗留（某种印象等）
いいわたす 言い渡す 1. 宣告，宣布（法律、判决等）；2. 命令，吩咐
いいなおす 言い直す 重说；重新表达；换个说法
いいあらわす 言い表す 表达，表述，陈述，说明；象征，代表
いいわけ 言い訳 借口；辩解；托词
いいかえす 言い返す 1. 顶嘴；反驳 2. 重复说；再说一遍
いいまちがえる 言い間違える 说错；说漏嘴
いう 言う 说，讲；告诉，对…说；叫做，称为；说明，表明；认为，觉得
いうまでもなく 言うまでもなく 不用说，不言而喻，自不待言
いわば 言わば 说起来，可以说；比如说
いわづける 言付ける 吩咐，嘱咐；托人带口信
ことづた 言伝 传闻；口信；传话，传达
げんどう 言動 言行，语言和行动
げんきゅう 言及 提及，说到；谈到，涉及
ことば 言葉 话，语言；说法，措辞；言辞，言语
ことばにあまえる 言葉に甘える 过分依赖言辞，光靠嘴说；听信别人的话，轻信别人的言辞
ことばづかい 言葉遣い 措辞，用词；说话的方式、风格
げんご 言語 语言；言语；话
ごんごどうだん 言語道断 岂有此理，荒谬至极；无法用言语形容，难以言表
ていせい 訂正 订正，修订；改正错误
けい 計 1. 合计，总计；2. 计划，打算；3. 测量仪器；4. 策略，谋略
はかりしれない 計り知れない 不可估量的；无法预测的；非常大的
けいかく 計画 计划，规划
けいさん 計算 计算；考虑，估计；算计
けいさんき 計算機 计算机；计算器
けいさんだかい 計算高い 精打细算的；会算计的；爱打小算盘的
うつ 討つ 讨伐；攻击；攻打；（为复仇等）杀死
とうぎ 討議 讨论，共同研讨
くんじ 訓示 训示，训诫；指示，命令
くんれん 訓練 训练；锻炼；练习
たくける 託ける 1. 借口，托故；2. 委托，托付
きじ 記事 1. 新闻，报道；2. 文章，短文
きにゅうする 記入 写入，填写；记入，登记
きごう 記号 记号，符号
きめい 記名 记名；署名，签名
きねん 記念 纪念；纪念品
きねんひん 記念品 作为纪念而留存或赠送的物品，纪念品
きおく 記憶 记忆；记忆力；记性
きしゃ 記者 记者
きさい 記載 记载；登载
きじゅつ 記述 记述，记载；记述的文字
きろく 記録 1. 记录，记载；2. （比赛等的）成绩记录；3. （磁带、光盘等的）录音，录像
ごとり 訛り 口音，乡音；变形，走样
たずねます 訪ねます 访问，拜访；探寻，寻求；打听，询问
たずねる 訪ねる 访问，拜访；寻找，探求；打听，询问
おとずれる 訪れる 1. 到来，来临；2. 访问，拜访；3. 前往，去到
ほうもん 訪問 访问，拜访
ほうもんします 訪問します 拜访，访问
もうける 設ける 1. 设置，设立；2. 制定，规定；3. 准备，预备
せつび 設備 设备；设施；配备
せってい 設定 1. 设定，设置；2. （小说、戏剧等的）背景设定，设定情节
せつりつ 設立 设立，创立；建立（组织、机构等）
せつりつする 設立 （組織や制度などを）新しく作り上げる。創設する。设立；创办；创建
せっち 設置 设置，安装；设立；摆放
せっけい 設計 设计；设计图，设计方案
ゆるす 許す 原谅，宽恕；允许，容许；认可，承认；免除（义务、责任等）
きょか 許可 许可，允许；批准
わけ 訳 1. 理由，原因；2. 意思，意义；3. 情况，情形；4. 当然，自然；5. 译文，翻译
やくします 訳します 翻译；解释；说明；认为，觉得；有某种含义；有道理，说得通
やくす 訳す 翻译；解释；说明；理解；领会
わけする 訳する 1. 翻译；2. 解释；3. 认为，觉得；4. 算出，算出…的价值
うたえる 訴える 1. 申诉，诉说；2. 呼吁；3. 诉诸，借助；4. 起诉，控告
そしょう 訴訟 诉讼；打官司
みる 診る 诊断；诊察；听诊；叩诊
しんさつ 診察 （医生对患者进行的）诊断、检查
しんだん 診断 诊断；判断；对病情、事物状态等做出判断
しんりょう 診療 诊疗，诊治；医疗服务
しょう 証 证据，证明；证件，凭证
しょうにん 証人 证人，提供证据或证词的人
しょうこ 証拠 证据；证明
しょうめい 証明 证明；证实；证据；证明书
しょうげん 証言 名词。当事人或证人就自己所知道的事实向司法机关或有关人员所作的陈述；证词。
さぎ 詐欺 欺诈，欺骗；诈骗
ひょうか 評価 评价；评估；评定
ひょうばん 評判 1. 评论，评价；2. 名声，声誉；3. 出名，有名；4. （商品等的）销路，行情
ひょうろん 評論 评论；评论文章
えいたん 詠嘆 咏叹，感叹，赞叹；诗歌等中表达感叹的部分
もうでる 詣でる 1. 参拜（神社、寺院等）；2. 前往，到（某处）；3. （为求学问、技艺等）拜访，叩访
ためしに 試しに 试着，尝试；为了试验
ためす0 試す 尝试；试验；测试；试试看；品尝；考验
こころみ 試み 尝试，试验；意图，打算
こころみる 試みる 尝试，试验；试图，企图
しじょう 試乗 试乘；试驾（車や飛行機などを、運転・操縦して性能などを調べること）
しさくする 試作する 试制，试做；试验性制作
ししゃかい 試写会 新闻记者等在正式发布前提前观看影片、演出等并撰写报道的活动；试映会，预映会
しあい 試合 比赛；竞赛；较量
しあん 試案 试行方案；草案；初步方案
しちゃく 試着 试穿（衣服等）
しれん 試練 考验，锻炼；磨难，苦难
しこう 試行 试行，试验；尝试，试行某项政策、方法等
ししょく 試食 品尝；试吃
しいん 試飲 尝试饮用；试喝
しいんかい 試飲会 品尝会，试饮会
しけん 試験 考试，测验；试验，测试
し 詩 诗，诗歌
しじん 詩人 诗人
ししゅう 詩集 诗集，诗歌集
わびる 詫びる 道歉；赔不是；谢罪；表示歉意；申辩，辩解
つまる 詰まる 1. 塞满，挤满，堆满；2. 堵塞，不通；3. （事情）停顿，停滞；4. 集中，凝聚；5. 花费（时间、金钱等）
つめかける 詰めかける ①拥上来，蜂拥而至；②紧接着，一个接一个地；③逼近，迫近
つめる 詰める 1. 装，装填，装入；2. 挤满，塞满；3. 缩短，缩减；4. 整理，收拾；5. 凑齐，凑足
つめあわせる 詰め合わせる 1. 混装，把（水果、食品等）混着装在一起；2. 汇集，集合，凑齐
つめこむ 詰め込む 1. 塞进，装入，装填；2. 挤满，塞满；3. 灌输，强行教给
せつる 詰る 1. 责问，责备，责难；2. 逼问；3. 使陷入困境；4. 结算，清账；5. 填满，塞满
はなし 話 话；谈话；话题；故事；传闻
はなしかける 話しかける 主动搭话，主动打招呼；开始交谈
はなします 話します 讲，说；谈话，交谈；讲述，叙述
はなしあい 話し合い 协商，商谈；互相交谈，交流意见
はなしあう 話し合う 1. 互相交谈，谈话；2. 商量，协商，讨论
はなしごえ 話し声 说话的声音；嗓音
はなしかける 話し掛ける 主动搭话，主动打招呼；刚要开口说话
はなしあいて 話し相手 说话对象，谈话对象，交谈对象
はなしことば 話し言葉 口语；口头语言
はなしこむ 話し込む 1. 谈得入迷，说得起劲；2. 深入交谈，详细商量；3. 劝诱，说服
はなす 話す 说，讲；谈话，交谈；讲述，叙述；说（某种语言）
わだい 話題 话题；论题；题目
がいとう 該当 符合，适合；相当，相称
くわしい 詳しい 详细的；精通的，熟悉的
しょうさい 詳細 详细；详情
たのまえる 誂える ① 定做；定制 ② 邀请；约请
ほこり 誇り 骄傲，自豪；自尊心；荣誉，名誉；值得骄傲的人或事物
ほこる 誇る 夸耀；以……为荣，为……感到自豪；自吹自擂；显示，展现
こちょう 誇張 夸张，夸大；夸张的话，夸大的说法
みとめる 認める 承认；认可；认为；断定；赏识；看重
にんてい 認定 官方等对资格、能力、事实等的认可、认定
にんちしょう 認知症 因脑部器质性病变或机能衰退而导致的认知功能障碍疾病，通常表现为记忆力减退、思考能力下降等，即痴呆症。
にんしき 認識 认识；认知；了解；识别
ちかう 誓う 发誓，立誓；起誓保证；断言，肯定
せいやく 誓約 誓约，起誓；约定，契约
たんじょう 誕生 出生，诞生；（组织、机构等的）成立，创办
たんじょうび 誕生日 生日，诞辰
たんじょうする 誕生する 诞生；产生
さそいます 誘います 邀请，约请；引诱，诱惑；引起，引发
さそいあわせる 誘い合わせる 互相邀请；相约
さそう 誘う 1. 邀请；2. 引诱，诱发；3. 引起，引发；4. 招引，吸引
ゆうどう 誘導 引导，诱导；（物理等领域的）感应；（文章等的）推导，推论；（体育比赛等中的）战术引导
ゆうわく 誘惑 诱惑；引诱；诱惑物
ゆうかい 誘拐 拐骗，诱拐；绑架
かたりあう 語り合う 互相交谈；互相商量；倾诉
かたる 語る 讲述，谈；说（某种语言）
ごく 語句 语句；词句；字词；词语
ごがく 語学 语言学；外语
ごい 語彙 词汇；语汇
ごげん 語源 （词语等的）语源，词源
まことに 誠に 实在，的确；非常，十分
せいじつ 誠実 诚实，真诚；老实，忠厚
せいい 誠意 诚意；诚恳，真心实意
あやまり 誤り 错误；差错；失误
あやまる 誤る 错，弄错；失误；耽误，贻误；违背，背离
ごかい 誤解 误解，误会
せつ 説 1. 学说；2. 说法，论点；3. 主张，意见
せつく 説く ①解释，说明；②劝说；③提倡，主张
せっとく 説得 说服；劝服；劝导
せっきょう 説教 说教；教诲；讲道
せつめい 説明 说明，解释；说明内容，解释内容
せつめいします 説明します 说明；解释；讲解
せつめいしょ0 説明書 说明书；使用手册；解说书
よみます 読みます 读；阅读；念；朗读；解读；理解
よみあげる 読み上げる 大声朗读；读完，念完；读出（电子设备等以语音形式输出信息）
よみとる 読み取る 读取；读懂，领会，看明白；听出（某种情感等）；看出（某种迹象等）
